# Time-averaged data for fix myFixMSD2
# TimeStep c_myMSD[1] c_myMSD[2] c_myMSD[3] c_myMSD[4]
0 0 0 0 0
10000 16.9193 16.3291 16.9257 50.1742
20000 28.8029 27.6644 29.0684 85.5357
30000 37.8636 36.3119 37.9137 112.089
40000 45.8716 44.4652 45.8841 136.221
50000 52.2077 51.0764 52.3847 155.669
60000 59.0187 57.1198 58.8123 174.951
70000 64.5493 62.805 64.6187 191.973
80000 70.1241 67.8534 70.2423 208.22
90000 75.485 71.9206 75.8356 223.241
100000 79.818 76.7415 79.0615 235.621
110000 84.1706 80.8449 82.405 247.42
120000 87.6927 84.7701 86.5928 259.056
130000 90.7725 88.2914 90.9167 269.981
140000 93.6431 91.7959 93.771 279.21
150000 97.0683 95.8895 96.5966 289.554
160000 101.296 100.204 100.762 302.261
170000 104.451 101.819 103.415 309.684
180000 108 105.086 106.484 319.571
190000 110.557 108.095 109.805 328.458
200000 113.585 110.866 113.349 337.8
210000 117.383 113.641 116.417 347.441
220000 120.609 116.206 118.863 355.678
230000 123.054 119.135 120.838 363.027
240000 125.033 122.014 122.766 369.813
250000 126.822 124.311 124.2 375.333
260000 128.752 126.797 125.196 380.745
270000 131.837 129.308 127.442 388.586
280000 134.872 131.533 129.676 396.08
290000 136.21 133.409 132.02 401.639
300000 138.39 134.989 134.795 408.174
310000 140.334 136.674 135.726 412.733
320000 142.507 139.735 137.651 419.893
330000 143.64 141.895 138.416 423.95
340000 145.823 144.056 140.032 429.911
350000 147.547 146.365 141.834 435.746
360000 150.141 148.624 144.372 443.138
370000 152.723 149.781 146.525 449.028
380000 154.174 151.765 148.572 454.511
390000 156.271 153.158 149.268 458.698
400000 157.887 154.364 150.153 462.403
410000 159.172 155.876 151.862 466.909
420000 160.789 158.393 153.983 473.165
430000 162.668 159.925 154.654 477.247
440000 163.503 161.922 155.506 480.931
450000 164.786 162.712 157.851 485.35
460000 167.22 164.479 159.711 491.41
470000 168.848 165.159 162.392 496.4
